accuracy_mean,accuracy_median,accuracy_variance,extant_id,taxon_distance,training_case,update
0.0,0.0,0.0,10090,0,0,phylo_100
0.0,0.0,0.0,10090,1,1,phylo_100
0.0,0.0,0.0,10090,2,2,phylo_100
0.0,0.0,0.0,10090,3,3,phylo_100
0.0,0.0,0.0,10090,4,4,phylo_100
0.0,0.0,0.0,10090,5,5,phylo_100
0.0,0.0,0.0,10090,6,6,phylo_100
0.0,0.0,0.0,10090,7,7,phylo_100
0.0,0.0,0.0,10090,8,8,phylo_100
0.0,0.0,0.0,10090,9,9,phylo_100
0.0,0.0,0.0,10090,10,10,phylo_100
0.0,0.0,0.0,10090,11,11,phylo_100
0.0,0.0,0.0,10090,12,12,phylo_100
0.0,0.0,0.0,10090,13,13,phylo_100
0.0,0.0,0.0,10090,14,14,phylo_100
0.0,0.0,0.0,10090,15,15,phylo_100
0.0,0.0,0.0,10090,16,16,phylo_100
0.0,0.0,0.0,10090,17,17,phylo_100
0.0,0.0,0.0,10090,18,18,phylo_100
0.0,0.0,0.0,10090,19,19,phylo_100
0.0,0.0,0.0,10090,20,20,phylo_100
0.0,0.0,0.0,10090,21,21,phylo_100
0.0,0.0,0.0,10090,22,22,phylo_100
0.0,0.0,0.0,10090,23,23,phylo_100
0.0,0.0,0.0,10090,24,24,phylo_100
0.0,0.0,0.0,10090,25,25,phylo_100
0.0,0.0,0.0,10090,26,26,phylo_100
0.0,0.0,0.0,10090,27,27,phylo_100
0.0,0.0,0.0,10090,28,28,phylo_100
0.0,0.0,0.0,10090,29,29,phylo_100
0.0,0.0,0.0,10090,30,30,phylo_100
0.0,0.0,0.0,10090,31,31,phylo_100
0.0,0.0,0.0,10090,32,32,phylo_100
0.0,0.0,0.0,10090,33,33,phylo_100
0.0,0.0,0.0,10090,34,34,phylo_100
0.0,0.0,0.0,10090,35,35,phylo_100
0.0,0.0,0.0,10090,36,36,phylo_100
0.0,0.0,0.0,10090,37,37,phylo_100
0.0,0.0,0.0,10090,38,38,phylo_100
0.0,0.0,0.0,10090,39,39,phylo_100
0.0,0.0,0.0,10090,40,40,phylo_100
0.0,0.0,0.0,10090,41,41,phylo_100
0.0,0.0,0.0,10090,42,42,phylo_100
0.0,0.0,0.0,10090,43,43,phylo_100
0.0,0.0,0.0,10090,44,44,phylo_100
0.0,0.0,0.0,10090,45,45,phylo_100
0.0,0.0,0.0,10090,46,46,phylo_100
0.0,0.0,0.0,10090,47,47,phylo_100
0.0,0.0,0.0,10090,48,48,phylo_100
0.0,0.0,0.0,10090,49,49,phylo_100
0.0,0.0,0.0,10090,50,50,phylo_100
0.0,0.0,0.0,10090,51,51,phylo_100
0.0,0.0,0.0,10090,52,52,phylo_100
0.0,0.0,0.0,10090,53,53,phylo_100
0.0,0.0,0.0,10090,54,54,phylo_100
0.0,0.0,0.0,10090,55,55,phylo_100
0.0,0.0,0.0,10090,56,56,phylo_100
0.0,0.0,0.0,10090,57,57,phylo_100
0.0,0.0,0.0,10090,58,58,phylo_100
0.0,0.0,0.0,10090,59,59,phylo_100
0.0,0.0,0.0,10090,60,60,phylo_100
0.0,0.0,0.0,10090,61,61,phylo_100
0.0,0.0,0.0,10090,62,62,phylo_100
0.0,0.0,0.0,10090,63,63,phylo_100
0.0,0.0,0.0,10090,64,64,phylo_100
0.0,0.0,0.0,10090,65,65,phylo_100
0.0,0.0,0.0,10090,66,66,phylo_100
0.0,0.0,0.0,10090,67,67,phylo_100
0.0,0.0,0.0,10090,68,68,phylo_100
0.0,0.0,0.0,10090,69,69,phylo_100
0.0,0.0,0.0,10090,70,70,phylo_100
0.0,0.0,0.0,10090,71,71,phylo_100
0.0,0.0,0.0,10090,72,72,phylo_100
0.0,0.0,0.0,10090,73,73,phylo_100
0.0,0.0,0.0,10090,74,74,phylo_100
